653-63-5375,SORWHWY12A6702038E
876-91-8265,SOGYYLE12A8C13E5EA
327-15-4094,SOITUXQ12AB0183AE9
472-85-2766,SOTWEZZ12A8C142B60
289-84-3609,SOUVRGZ12A58A77F90
255-11-5190,SOBLTSM12A6D4F9EEA
615-63-1434,SOUQVUD12A8C142DCE
324-42-2869,SOCRPDR12AB0185B75
891-99-0918,SOXVBVL12AF72A600C
677-48-9863,SOIQHDR12AB01896C8
876-35-1817,SODLSHA12AAF3B29F2
966-40-2860,SOAGHMH12AB0180285
631-76-2521,SORAVUP12AB018556E
244-17-3252,SOFXNQP12AB0184F1A
350-94-7429,SOGQTRZ12A8C13C8B0
321-95-9227,SOBHVZQ12AC9618285
210-91-6574,SOYPBCY12AB0181EF3
245-71-5196,SOWRLSY12AC4687694
193-74-3987,SOOGQWR12A8C142505
855-08-8597,SOJDYQY12AB0188C97
193-84-0722,SOBHQUF12AB018B03E
544-26-8200,SOFRAZJ12A8C143CDB
139-59-6405,SONNDHT12A8C13F20B
691-14-0487,SOYZOXW12A8C13E195
223-74-6114,SOSGJTX12AB0181F7C
431-67-3209,SOBQBWP12AB018611B
562-65-2946,SODULLV12AB017FA09
286-32-7482,SOYAGJM12A8C13DCCE
831-85-5444,SORXUZZ12A8AE4798A
504-29-2443,SOCHXAE12AF72A25D6
171-42-1013,SOCRHCQ12A58A7C8C6
590-03-4211,SOSEJIQ12AB017E7EB
385-75-7224,SOMXWXQ12AC3DFA002
216-08-8790,SOGMXBW12A6D4FB8D7
160-62-4231,SOOPUTF12AB018DFAA
932-27-8041,SOFDTRZ12AB018DD11
752-05-1106,SOOGNJP12A8C1381AD
866-52-2236,SOFUBCP12A8C13D5EF
481-51-8294,SOVZBDR12A6702012E
476-97-5250,SOPWKSS12AC468E659
169-58-3849,SOCCQIQ12A8C13C76B
385-51-0458,SODBMZD12A8C134232
750-72-9234,SOBUWPY12A8C1446C0
437-77-6856,SORWXUP12A58A79E65
991-47-3811,SOJEVZW12A8C133988
251-43-8880,SOOODKC12AB018462F
546-74-0221,SODOLVO12B0B80B2F4
974-73-9194,SOEHWGF12A6D4F8B2B
140-65-6352,SOOZLTC12A6D4FBE91
420-55-1267,SOOSYMY12AB01888CD
122-54-2663,SOPBKEB12A6D4FD777
322-10-9526,SOEWQYW12AB0183FDE
159-91-5058,SOFBQIA12AB0182219
617-55-2336,SOHDDHR12AB0183552
516-33-3780,SONWQQX12AC3DF6762
804-75-1735,SOGXFIF12A58A78CC4
535-24-2991,SOIPNSZ12A8C144128
464-61-5789,SOEXSIN12A8C133B0A
908-05-3058,SOTSMNJ12AB018365E
275-09-0102,SOLGRUN12A8C140543
937-72-4641,SOQCHGV12AC4688FC6
983-88-2594,SOXCWTT12AC9075756
877-74-3562,SOAFIPD12A8C13A261
628-54-9148,SOMJPML12A8C13D74E
209-40-6885,SOCVDYI12AC4687DDB
230-27-9901,SOEVGMZ12A8C1421B5
854-33-7359,SOCGURJ12AB0182AEE
382-20-5692,SOHTWLT12A8C13CFE1
754-60-0963,SOVQZYP12A8C144692
415-36-9463,SOHHANU12A58A77C66
801-57-3453,SOTHWPG12AB018C90E
182-09-6169,SOOQHNV12AB0186CD4
114-81-5158,SOSGXRU12AAF3B2B07
462-73-2877,SOFRUDU12A8C13A40C
206-31-0137,SONXLQQ12AB0184B54
693-98-9344,SOKPHVH12AB0187460
895-34-1278,SOIUGDX12A6D4FDECA
991-89-8415,SOAYYDM12AB01817E6
114-05-5935,SORAJXA12A58A7A4C9
413-01-5087,SODJUNF12A8C13337F
603-73-4615,SOVDDWO12A6D4F9A78
853-22-4784,SOFGQAP12AB0185946
239-00-0125,SORGLCR12AB0184B69
141-96-4063,SOLBIIE12AB0184DFC
520-72-7819,SORHOEV12A81C20F71
366-20-4145,SOFPYXC12A58A7A4B9
215-55-3203,SOFQGCQ12AB0183609
609-18-8636,SOEBDBO12AC4688712
613-05-0087,SONIQSB12AB0189829
393-30-8141,SOYNEII12AB0181DB6
559-98-2940,SOKIGWD12A6701DE9D
345-53-8620,SOHXKAN12AC46872F1
298-66-2150,SOQZHMH12A8C13A393
132-89-6282,SOLEYPL12A6D4F83CE
198-38-1088,SOZFCNC12A6D4F76F3
210-94-8787,SOPUQFS12A8C13DE1E
719-39-7476,SOPNRDT12AB018A2D8
505-92-6775,SOGTLVU12A8AE47D5D
269-58-9433,SOXNMDZ12A6D4FA20D
640-00-4182,SOGOJBW12AB018513B
260-30-8622,SONNOCP12A8C145220
165-51-6110,SOUDHTP12AB0183403
364-73-8231,SOWDEPU12A8C137B14
624-53-8209,SOJBYGW12A8C13A497
995-62-8114,SOQDTQP12A6D4F793F
202-49-1502,SOJHKYL12A6D4FA0AC
155-92-8020,SOJVWBA12AB018C326
619-69-3047,SONRSQW12A6D4F6D1C
345-68-9802,SONTBYD12A58A77A29
229-93-4019,SOMKMPB12A8C1447D0
530-96-2985,SOSGQPS12A8AE48538
462-22-4098,SOKENJQ12AB017EC8C
698-20-1915,SOBNTXB12A8C1428BA
491-80-8618,SOIKIJC12AC3DFB3D2
597-70-5592,SOFJNQR12A6D4FAE92
192-25-5783,SOGDFIT12AB018528B
273-98-1398,SOOIZTH12AB018C12E
153-40-4571,SOQPJUL12AB0189379
335-49-5144,SOMBQEO12A8C135018
438-79-0870,SOCQWKZ12A8C13CE4C
385-72-0410,SONETAN12A58A7ACEB
276-30-8617,SOKEXTF12A8C13AE7E
269-66-0386,SOUJISW12CF4E09416
317-22-1407,SOJKDKH12A58A761A2
816-03-0116,SOTWWBZ12AB01845E0
727-80-3577,SOKZTUH12AB018B938
404-87-1789,SOQDTZG12A8C1442E3
369-98-7600,SOIFOLA12AB017CDA1
516-46-6497,SOKHVZO12AB0184C4D
665-92-1838,SOMISOP12AC468D9D5
505-85-5013,SOOZKNQ12A6D4F6FD4
126-07-9614,SOGOQGE12AB0182907
584-98-2885,SOWTIDJ12AB018808C
123-52-0691,SONIHLC12AB0187B0C
326-60-0418,SOLBHCO12AB018769A
983-99-9687,SOVZVPT12AB018A59E
142-25-0796,SOZWDHS12AB0188A33
298-57-0761,SOFSKON12A8C13B3B5
883-61-5678,SOBOCAG12A6BD55D56
368-84-0241,SONCYFS12A8C14261E
888-98-7521,SOTNBNN12A6D4F6CC7
443-38-8821,SOXZLDX12A58A7CE52
155-66-0780,SOEESQT12A8C13C7D5
948-94-2175,SOSKUNI12AB0187F12
399-23-7095,SOSLFMU12AB018FFEA
108-43-7360,SOOKISK12AB0180667
113-09-8798,SOVGBEK12A8C134E04
938-55-5039,SORJOMF12AB0186F78
696-20-5024,SOVTGXQ12A6D4FB9CA
653-09-4525,SOLKTEK12AB018BE1A
350-27-8518,SODYZIU12A8C13FBD9
457-29-4761,SOJRCDU12AB0189D27
536-18-0713,SOBMHTY12AC9097B7C
362-64-5502,SOZWHVZ12A6D4F90E7
803-50-1553,SOQAHUW12AB0181F04
825-77-2831,SOVHRBI12A81C22E02
948-13-8708,SOHULHF12AB017F6CF
516-89-8901,SOFWWGY12AB0185BC5
530-18-1937,SOEETVW12A6D4F93B8
978-82-9679,SOJTIKK12A8C13B15E
895-66-4584,SOQBQWN12AB0186782
965-32-2856,SOKLQWF12A8C1423F2
333-54-8286,SORQLMX12A8C133FCD
492-45-2707,SOCLQKJ12AF72A4AB0
959-91-7050,SODWXQV12A6310F10D
852-60-7785,SORKRKK12A8C13C12F
529-10-4191,SOQPPKZ12A58A7B1EC
678-06-4550,SOXSUNF12A8C134195
218-17-5172,SOVRJYX12AB01844E1
214-27-0414,SOMOHEI12AB018785F
809-84-7958,SOOGRLD12A8C132B2F
785-89-3368,SODAEVD12AB01886BB
580-98-8400,SOAESJW12A8C137CC2
410-92-8421,SOHCYVK12AB017BBF2
851-36-8165,SOCWXYM12AB018BDF3
892-52-4274,SOSYVIZ12A8C141964
920-42-7547,SOTVEKK12A8C1392E1
740-73-3020,SOHGAJH12A6D4F8F58
223-73-9746,SOCTSJA12AC9618325
623-30-4980,SOTYCYE12AC468AA08
585-27-7604,SOAKXET12CF5F86E71
861-84-9273,SOYDHCW12A6D4F9A2E
361-20-7969,SOGBJSK12AB018D052
440-93-8619,SOSTFTW12A8C13B84A
292-13-9773,SOLHFZF12AB018AB3E
824-19-9636,SOZEHMC12A6D4F9F30
817-88-5870,SOYHNTG12A6D4F5703
417-39-2967,SOGBRIU12A582A214C
197-55-9955,SOLCPEB12A58A7BF47
578-39-0060,SOFOGMR12A8C140FFF
522-22-0885,SOBJYXZ12A8AE45FF1
939-55-1131,SOGJSEF12AB01847D4
881-89-2178,SOCVGQS12A8C13D7DF
410-23-8274,SOGVRHK12A8AE47FFB
515-84-3974,SOGGYSM12A58A79111
314-03-2646,SOHCENZ12A8C13AC85
235-04-7537,SOIKVVS12AB0184063
852-90-3001,SOYCTBG12A8C144341
184-50-1889,SOMCCPJ12A8C142B6B
309-73-9987,SOVKCDB12A6D4FB2AB
856-06-1773,SOONOZL12A6D4FC475
646-18-7936,SOIHZMH12AB017DF93
991-01-1204,SOCQJBX12AF72AA6F2
520-24-0112,SOMWLCK12A8C135D69
306-08-3062,SORHXYU12A8C13716B
777-12-3787,SOEMLQO12AB01808B6
762-55-8804,SOITEVV12A6D4F5969
844-35-8059,SOWNSZY12AB0180BCF
932-30-6448,SOQKKPE12A8C13C2CD
788-80-7437,SORJXPY12AB0182839
179-13-1350,SOIRGRL12AB0186BC2
130-57-0485,SOEGTAN12A6D4F8726
598-08-7104,SODTRPJ12A8C1377E9
466-10-7277,SOKPFTZ12A6D4FA141
230-04-2535,SOFVRCJ12AB018B4DA
831-00-7966,SORWMLD12A8C137D1A
730-53-6328,SOFHQCR12A8C138A74
461-38-4138,SOCPGVG12AB018AA84
304-79-1206,SOYUFEN12AB018BF99
777-75-4518,SOLWQFA12AB01899E8
138-60-1016,SOAMXQV12AB018775F
280-12-6201,SOENDOQ12A8C139A41
133-74-3278,SOWHAEF12A8C13EF0C
725-07-1394,SOTTXNS12AB0187861
175-71-6263,SOXSLOL12AB0188039
647-82-8836,SOQLGFP12A58A7800E
850-68-5434,SOPVXLX12A8C1402D5
840-17-7063,SOAOIBZ12AB01815BE
192-05-5731,SOZHPGD12A8C1394FE
650-90-1856,SOSLAVG12A8C13397F
458-34-8887,SOTTDKS12AB018D69B
694-51-6512,SOMVWWT12A58A7AE05
286-59-2444,SOQVMXR12A81C21483
785-41-0664,SODUJBS12A8C132150
516-78-2081,SOBBXLX12A58A79DDA
246-51-5664,SOTUKVB12AB0181477
890-06-4807,SOOJPRH12A8C141995
243-18-6977,SOBCOSW12A8C13D398
723-26-2015,SOQOTLQ12AB01868D0
655-76-9953,SOBKWDJ12A8C13B2F3
259-30-8119,SOFNOQK12AB01840FC
198-39-5361,SOGVQGJ12AB017F169
725-97-5972,SOFFKZS12AB017F194
254-05-1207,SOBAYLL12A8C138AF9
482-70-1359,SOLEYHO12AB0188A85
924-71-6499,SOPEGZN12AB0181B3D
700-59-6781,SOXILUQ12A58A7C72A
181-19-3330,SOTCKKY12AB018A141
890-87-8520,SOSWKAV12AB018FC91
176-60-4031,SONSKXP12A8C13A2C9
430-35-6865,SOUPIRU12A6D4FA1E1
243-47-5816,SODREIN12A58A7F2E5
504-00-1023,SONWXQJ12A8C134D94
149-46-8488,SOWQTQZ12A58A7B63E
470-04-2251,SOLYIBD12A8C135045
890-89-3803,SOINLJW12A8C13314C
139-95-1860,SOGDBUF12A8C140FAA
908-62-6142,SORRZGD12A6310DBC3
798-88-2315,SODAUVL12A8C13D184
995-91-9389,SOFCHDR12AB01866EF
135-45-8448,SOHUTDD12AB018A94F
560-57-9469,SOHNDEQ12A6D4F9FBE
275-90-8240,SOLCALW12A8C132870
343-36-5195,SOPOIQJ12A6701C8CF
184-98-9997,SOUMWOQ12A8C13A949
135-79-3345,SOIUJEF12A8C13C878
662-14-4084,SOXXFEW12AB017F2A8
293-96-2010,SOLUIMX12AB0189599
507-71-2052,SODLRRT12AB0189535
638-63-9305,SOCTPFZ12AAF3B45AE
953-42-8601,SOPDILX12AF72AA3C2
766-19-5673,SOMYOQU12A8C13C2B4
352-51-1745,SOWETWO12A6D4FA5F3
981-01-8439,SOFGVWR12A8C141D19
511-41-4201,SOADEBB12A8C1345D9
406-13-7720,SORZLRP12AB017D68D
986-68-0196,SOMGTTY12AB0185986
929-34-4126,SOIKYMH12AB0186452
617-67-8930,SOILUPR12AB0186FC1
148-51-5956,SOAXGUT12AB0184D53
477-57-9782,SOWHNGE12A8C133D07
762-53-4471,SOLULNS12A8C13008E
751-00-1259,SOPMNJT12A8C13AC24
614-38-7686,SOPLBWU12AB01894DE
621-29-0906,SOJFCDO12AB01852EE
848-71-8199,SOISHVF12A8AE496BB
164-39-1096,SOLEQYS12AB017D59D
407-85-6343,SOPHMAS12AB0186B88
157-42-5123,SOVCZHI12A6D4FAB0D
532-72-0402,SOFZJFU12A8C1420A1
437-67-7611,SOEWJWO12AB01865EB
219-02-0341,SOISSLO12AC96185B0
134-64-3476,SOCYAKZ12AB018708F
374-16-5899,SOAXABK12A8C13C76F
907-85-7575,SOOBSJW12A6D4FA2B2
886-62-6621,SOWFQKL12AB017D754
472-06-1004,SOACHGQ12AB018590E
982-11-7847,SOKQFOM12A8C13E738
129-63-0218,SOZEMEV12A6D4F9317
895-18-9272,SOQGZBE12A8C139160
898-53-5307,SONMGHJ12A8C137426
109-87-5898,SOFRROW12A6701CBEA
395-29-7540,SOIMFZR12AB017F041
482-52-5050,SOCPSFM12A8C136A50
531-29-7133,SOPWBZR12AB017C46D
924-15-8402,SORSTBQ12A8C144986
230-07-0007,SOSVQVA12A8C137DEA
979-75-7600,SOHXSRS12CF530E601
154-38-6951,SOETFVQ12A8151E8B3
666-15-8027,SOAFUDP12A6D4F7211
856-31-6017,SOQZWXR12AB017FDE3
621-84-5481,SOTNQRU12A8C131FEF
830-29-4976,SOGXQRO12A8AE47D50
719-05-2097,SOFDHHB12AB0187788
398-83-9261,SOOCMUD12AC4686532
122-41-0806,SOPDAMI12A58A782EA
577-49-8640,SORZHIP12A8C13EEB8
374-24-3059,SOIHMBZ12AC4688FD5
291-96-0485,SOSLSTE12AB0180800
760-52-1644,SOWEMDM12AC3DFA56B
185-38-7520,SOOUWXD12AB0181D16
858-58-2967,SOONDHS12A58A7CADA
626-74-1464,SODYVBO12AB017C3A5
555-09-3345,SOXKVHN12AB0184051
294-23-4202,SOLZTXD12AB0189AEB
274-15-8745,SOKBJCQ12A6D4F9DCB
611-53-0702,SOXLVKX12A6310E1C9
934-40-5419,SOOWWPQ12AB018E4B7
912-72-1974,SOIOEMI12AB0182C50
768-77-3398,SOHVUPT12AB0180D45
498-94-7590,SOZQKUN12A58A7BE4B
956-80-9393,SOFDXJM12A58A75955
144-05-0606,SOFPXKK12AB01807D3
107-29-9914,SOCOQUZ12AB0181A1E
981-98-1275,SOZLDXZ12A8C1427BE
130-46-0151,SOXTQOC12A6D4F6C56
349-61-0674,SOSLEMJ12A8C13F86B
641-83-2700,SOXHJSE12A8C1364FF
333-53-4885,SODUYOC12A67ADC8ED
959-19-4842,SOTAGIH12AB018152A
973-98-5971,SONKANV12AB017E5F0
193-34-7537,SOBCKIM12A8C13936C
521-84-8972,SOPEYWY12A8C13A9EC
896-14-9390,SOPYZLU12A8C14193C
890-53-4004,SOVSLSQ12A6D4F8F77
173-21-8272,SOOBPLB12AB018ABBA
870-04-6203,SOKAYCT12AB018ACE9
902-10-2766,SODQWRC12A8C13D19B
741-18-2246,SOHSGTX12A67020685
985-22-4173,SOARVHI12AB018C588
829-25-3452,SOQLNGZ12A8C1314E8
637-78-3421,SOUOYDQ12AB017EFFC
571-72-0962,SONPXHA12AB017D876
664-70-7402,SONETAK12A6D4FB69A
110-56-7213,SOSOMQZ12AB0180900
698-70-5883,SOUIYTT12A8C137D45
640-10-7368,SOKIXDM12A8C136E04
547-35-7959,SOPJIAU12A8C13DF3A
431-46-4955,SOMMMJG12AB0188A1C
677-12-6097,SOWCGOU12A81C2194D
927-38-4406,SOAQFIX12A6D4F8A72
565-75-3877,SOSHODS12A6D4F79BC
906-08-0521,SOMVEML12A8C13473F
812-64-9942,SOLHMFG12A81C21E88
632-13-3051,SORNGOF12A8C144013
469-55-8922,SOXIPMV12A8C135AB0
961-48-1484,SOYBTTM12AB01899E8
433-57-2765,SOUDYEW12AB0183E5C
934-71-8329,SOBXYZM12A8C140450
817-15-1014,SOJISRJ12A8C1323D7
811-65-3447,SOXTTCW12A8C1331EF
603-76-4836,SOKMFTY12AB0183216
414-47-9959,SONUYNP12C41E0741F
568-18-2119,SOSOQET12AB0181A68
776-11-5190,SOCOICY12A8C140D18
991-14-3332,SOVIRCP12AB01891FE
636-56-0416,SORCBRS12A8C138350
555-59-0063,SOTKKSP12A6BD53D32
805-05-8107,SOXZUAY12A58A7B63C
227-98-2491,SOCMIYJ12A8C1384E3
600-84-2216,SOGJYZW12A8C134DBD
396-05-3601,SOEORMV12A6D4F7455
241-29-4240,SOYRLBG12A8C145AD9
158-90-1695,SOXBGFT12A8C13B4BF
859-05-3810,SOYVQII12A81C2115C
921-22-3566,SOJCFUI12A6D4FC28C
716-87-3112,SOEVPYU12CF5827356
584-57-1379,SODPTKR12AAFF43568
693-72-5804,SOLTRLC12A8C13E710
381-52-4450,SOWMUXA12AB01840EC
879-58-0000,SOAIGUM12A6D4F6FCB
321-64-4370,SOHGDHJ12A8C13F54D
904-19-3331,SOWXYMX12AB017F190
287-06-1451,SOUSQZF12A8C13BBB9
341-87-9349,SOLCIZY12A6D4F6A61
831-49-9093,SOIKLHC12A6D4FA158
835-42-2227,SOQXUJL12A6D4FA238
683-21-2773,SOKTTZL12A67ADC7CD
193-60-9884,SOZDUEQ12A8C14440E
238-73-0331,SOJFAFW12A8C142321
491-76-7145,SOJZZHD12AB01821A2
831-34-9338,SOQVKQN12A8C13B95A
713-30-1953,SOEXHZZ12AB018661D
559-11-7395,SOWOSLT12A8C13F193
263-62-2346,SONBXTX12A8C138834
330-30-8206,SOBEVMI12AB018E480
626-77-7011,SOVYOMR12AC468ABB9
342-73-6521,SOVSGKJ12A6D4F9925
782-90-3640,SOXKCIT12A8C13A881
128-70-0747,SOXXWCZ12AB017D07C
789-56-0324,SOIZXXS12AC468645B
849-18-5124,SOUYCPO12AAF3B3E0B
606-07-5129,SOMKWCF12A8C142BCD
132-19-3594,SOSMXVH12A58A7CA6C
734-54-8344,SOKZYGT12A8C139568
137-87-7497,SOYSHPW12AC960A4D6
849-53-5306,SOBSKJV12A67AE0CC4
848-48-6190,SOHRTYN12AB018CCDE
549-10-5604,SODPLYE12AB01898FB
295-23-8594,SOQSYGY12A8C137E0F
788-48-5780,SOJPXLR12AB018378B
919-98-9535,SOJCRCV12AC468654B
769-95-1588,SOFAJKC12AB018B184
748-88-1048,SOMTZYN12A8AE471C0
476-77-3987,SOJCHPN12A8C132491
207-17-4539,SONVUII12AB0183269
962-80-9270,SOLRRKL12A6D4F9A14
705-31-5236,SODGOXT12A8C1418DE
773-92-7241,SOPMOPR12A6D4FBC72
325-37-3173,SOLQSUX12AF72AB397
480-68-7765,SOMRFYS12A8C13CCA4
984-68-4504,SOBDARW12AB018BB05
178-49-7195,SOVXNAP12A81C234AE
425-95-3545,SORDNTC12A8C13FE63
620-45-1527,SOKCFEJ12AB017BE83
280-91-5333,SOKKRTJ12AB0182F77
573-74-8507,SORMWFU12AB0185891
946-63-1841,SOMXSEH12A8C1371EA
548-96-0771,SOTSZZK12AB0189F9D
861-96-4117,SOUIDWL12A8C13357A
890-69-4334,SOSQIQU12A8C143A53
643-06-4488,SOVGKBD12AAF3B4FFB
761-50-4937,SOHXBEL12A8C1355E3
989-03-8502,SOWQROJ12A8AE47400
758-50-2591,SOLXOSZ12A8C1432E2
104-68-1361,SOTRSHW12A58A79E7C
896-90-2903,SONHURK12A8C131104
428-74-2320,SOZBOLJ12AB018B0EC
228-51-3772,SOJBVLG12AB0180412
348-10-4520,SOYOZCL12AB0189C16
265-36-7242,SOHFVFR12AB0186969
220-20-2813,SOXDEEZ12A6D4FBB9A
188-93-8834,SOABLAF12AB018E1D9
673-69-4047,SOWOHNT12A6D4F60EA
318-94-3415,SOVLDWE12A8AE47F3E
416-65-7568,SOSCKEF12AB0181D6F
908-72-1392,SOQFRWV12A8C133D0A
157-99-9239,SOQYKJX12A8AE4968F
875-87-9533,SOTSFFZ12AB0182949
522-82-2723,SOTMYBJ12A58A7A667
485-46-2014,SOTVHQT12AB0181279
454-83-2068,SOLLKHF12A58A77EE9
309-72-9183,SOMEUQK12AB017A8FF
718-52-1678,SOZVBBA12A6D4FD1A8
637-52-9935,SOJDXID12A8C140A22
650-70-5070,SOCLAYI12A6310F138
308-00-6672,SOGAUIQ12A6D4F8262
449-77-5544,SOXVUMX12AB0187374
215-17-6222,SOYBUNM12A6D4F64B1
906-77-7843,SOVFFIH12A81C217E6
663-30-3345,SOKMUOE12AAF3B3F2B
759-25-9021,SOBBPHG12AB01869CE
938-80-7047,SOVBTZQ12AB0184DC0
313-35-0693,SOFMOWZ12AB017F3B7
115-06-0722,SOKJKUH12A8AE46FAA
688-50-1311,SOQVGKZ12A6D4F8244
466-26-8724,SOMLPQI12A8C13EE3F
467-12-4190,SOZXPDN12AB018302E
687-88-1369,SOTCPOF12AB01885FE
706-88-5733,SOERPNN12A58A7D057
151-21-6992,SOPILLC12A81C1FA01
320-49-4807,SONDOLZ12AB0187777
521-81-7853,SOJXMRA12A58A7A875
783-20-6782,SOHNDZB12A8C13EDB8
956-81-0221,SOFJWKK12AB01826CD
700-03-7903,SONGTGF12AB017EC2C
509-45-4262,SOAPGDK12A6D4FAF5E
622-34-1511,SOTETIO12A8151CA26
428-19-1688,SOJRNQF12A8C134D57
101-96-5693,SOVKUOE12A58A8066E
324-19-3833,SOEZCYJ12A58A7C0D4
677-63-4474,SOUJNFK12AB0186B86
128-19-8349,SOHWDHV12A8C134426
151-51-7390,SOUOZQB12AB0186284
223-63-3989,SOSVTQX12A8C136D74
214-32-7221,SOEDCOB12A8C142CBA
131-29-7940,SOGMGUW12A8C143F44
576-90-2746,SOEYJEP12AB01816D3
604-30-5336,SOJWZGJ12A670203B7
290-86-1975,SOYJBVO12AB0189DB3
437-86-8541,SOJBWGF12A8159E883
810-27-8389,SOKXZEJ12AC3DF5E1E
737-15-8558,SOWSLOF12AB017FE36
663-12-2134,SOTTJUN12A8C132C22
577-23-5449,SOBKPCA12A8C131AD9
960-11-7395,SOHJIJX12AB01821ED
533-06-5771,SOFDOAD12A58A7BAD3
910-07-1473,SOEDDXY12AC907580A
661-00-1674,SOQFWIS12A58A7BD61
968-09-4360,SOWRILA12A8C1360D0
141-31-0797,SOGDLDE12AB017A28E
797-31-0773,SOZAFEC12AB018C519
200-17-3082,SOYMPFK12A8C141D1A
611-64-4212,SOZTDIN12AB018AAD1
455-03-4644,SOGSBKB12AC9097E0F
381-96-3529,SOCOTRH12A8C13840D
802-99-2702,SOIEJUL12AB0181C12
230-78-6125,SONNDRB12A8AE46705
740-45-9152,SOVOYJL12A8C142B2A
436-90-8398,SOUDSJF12A8C13C36D
338-32-9806,SOJCOPL12AB01886A1
818-22-0899,SONFOLB12AB01841B9
901-00-6424,SOBDHIZ12AB0182E18
876-08-4564,SOGIAKH12AB0184D05
287-03-7097,SOSBJHW12A6D4FAAB2
766-17-1892,SOHZNER12AAFF43D08
168-13-5215,SODTDRC12A81C22C7C
939-61-4304,SOJUZCX12AB0181D3E
520-30-2621,SOKBBBJ12AB018A3BF
